Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
100.00,100.00,,,35.20,9.23,0.00,21.80,70.25,34656.13,2.19,33130.00,30.30,2.82,57610.10,137.00,43094.00,56.26,9.50
100.00,100.00,,,34.67,9.61,0.00,20.75,68.35,34042.26,2.14,33130.00,29.15,1.99,61591.93,137.00,43094.00,56.26,9.50
100.00,100.00,,,37.52,6.44,0.00,23.07,78.18,33139.28,2.00,29700.00,32.80,2.11,59775.74,137.00,43094.00,56.26,9.50
100.00,100.00,,,,5.28,0.00,23.45,81.62,29380.42,,,37.27,-2.06,61063.32,137.00,43094.00,56.26,9.50
56.38,4.00,0.00,,31.44,0.18,0.00,0.00,0.00,4762.17,6.03,370.00,,,768.18,43.00,23200.00,11.83,42.59
56.37,4.10,0.00,,31.68,0.18,0.00,0.00,0.00,4599.13,5.95,380.00,,,780.90,43.00,23200.00,11.83,42.59
49.70,4.20,0.00,,32.44,0.19,0.00,0.00,0.00,4474.39,6.10,400.00,,,791.38,43.00,23200.00,11.83,42.59
56.32,4.30,0.00,,32.88,0.19,0.00,0.00,0.00,4541.96,6.13,410.00,,,818.87,43.00,23200.00,11.83,42.59
56.28,4.50,0.00,,33.62,0.20,0.00,0.00,0.00,4353.04,5.83,400.00,,,863.24,43.00,23200.00,11.83,42.59
56.25,4.80,0.00,5940000.00,33.09,0.24,0.00,0.00,0.00,4054.56,5.74,430.00,,,904.74,43.00,23200.00,11.83,42.59
55.50,5.00,0.00,,33.01,0.26,0.00,0.00,0.00,3716.95,5.10,430.00,,,967.68,43.00,23200.00,11.83,42.59
56.20,5.30,0.00,,32.52,0.30,0.00,0.00,0.00,3787.35,5.20,470.00,,,1052.72,43.00,23200.00,11.83,42.59
56.18,5.70,0.00,,33.14,0.32,0.00,0.00,0.00,4150.36,5.26,470.00,,,1223.85,43.00,23200.00,11.83,42.59
56.17,6.10,0.00,5580000.00,34.00,0.33,0.00,0.00,0.00,3531.15,4.52,470.00,,,1267.32,43.00,23200.00,11.83,42.59
56.18,6.50,0.00,12430000.00,32.54,0.36,0.00,0.00,0.00,3942.16,4.36,520.00,,,1343.28,43.00,23200.00,11.83,42.59
56.20,6.80,0.00,10000.00,33.93,0.36,0.00,0.00,0.00,2921.88,3.63,480.00,,,1451.55,43.00,23200.00,11.83,42.59
54.60,7.20,0.35,9480000.00,32.48,0.37,0.00,0.00,0.00,3784.81,3.30,500.00,,,1559.24,43.00,23200.00,11.83,42.59
56.30,7.80,0.34,8230000.00,34.04,0.41,0.00,0.00,0.00,3836.71,2.98,560.00,,,2312.72,43.00,23200.00,11.83,42.59
56.62,8.10,0.33,3140000.00,30.82,0.09,0.00,0.00,0.00,4183.97,2.49,400.00,,7.06,2464.29,43.00,23200.00,11.83,42.59
57.58,8.40,0.33,940000.00,28.18,0.17,0.00,0.00,0.00,3626.96,2.42,460.00,,7.70,2658.95,43.00,23200.00,11.83,42.59
58.68,8.75,0.39,1290000.00,24.91,0.08,0.00,0.00,0.00,3409.71,2.23,420.00,,6.65,2802.17,43.00,23200.00,11.83,42.59
60.20,9.00,0.38,1730000.00,24.13,0.06,0.00,0.00,0.00,3036.14,2.17,420.00,,5.40,2914.36,43.00,23200.00,11.83,42.59
60.56,9.30,0.38,30470000.00,27.84,0.05,0.00,0.00,0.00,3133.48,2.02,400.00,,8.41,3141.86,43.00,23200.00,11.83,42.59
61.21,9.50,0.37,26860000.00,27.92,0.06,0.00,0.00,0.00,2848.79,1.89,420.00,,7.77,3414.92,43.00,23200.00,11.83,42.59
61.77,9.65,0.37,,,0.05,0.00,0.00,0.00,2701.79,,,,0.50,3425.48,43.00,23200.00,11.83,42.59
80.95,81.00,110.27,,11.06,0.04,0.00,0.03,42.86,7741.99,2.46,130.00,,2.34,4787.80,96.00,751.00,15.41,-61.37
82.28,82.00,110.23,,9.41,0.05,0.00,0.03,37.50,8312.16,2.63,150.00,,-0.06,4883.00,96.00,751.00,15.41,-61.37
87.70,82.80,110.11,,13.60,0.04,0.00,0.03,42.86,7820.66,2.54,120.00,,-2.83,4770.85,96.00,751.00,15.41,-61.37
84.91,83.60,109.70,,10.56,0.05,0.00,0.03,37.50,8702.42,2.67,140.00,,6.35,4897.31,96.00,751.00,15.41,-61.37
86.23,84.00,109.39,,11.56,0.04,0.00,0.03,42.86,10289.64,3.06,160.00,,3.05,5216.87,96.00,751.00,15.41,-61.37
87.54,85.00,109.10,,10.80,0.05,0.00,0.03,37.50,9846.59,3.02,160.00,,0.66,5160.89,96.00,751.00,15.41,-61.37
88.85,85.50,109.17,,9.88,0.05,0.00,0.03,37.50,9808.02,2.88,170.00,,4.66,5518.42,96.00,751.00,15.41,-61.37
90.17,86.30,109.89,,8.68,0.06,0.00,0.02,25.00,11844.85,3.39,180.00,,6.35,5951.86,96.00,751.00,15.41,-61.37
90.90,87.00,70.17,,8.45,0.06,0.00,0.02,25.00,10663.44,2.82,180.00,,7.12,6468.94,96.00,751.00,15.41,-61.37
92.83,87.40,70.29,,9.23,0.06,0.00,0.02,25.00,10826.46,2.83,500.00,,-1.17,6903.15,96.00,751.00,15.41,-61.37
94.17,87.80,99.04,,10.28,0.07,0.00,0.02,22.22,11327.72,2.99,180.00,,0.67,6967.36,96.00,751.00,15.41,-61.37
95.54,88.30,99.00,,13.80,0.06,0.00,0.04,40.00,11478.59,2.77,180.00,,-0.22,7065.46,96.00,751.00,15.41,-61.37
96.92,88.40,99.08,,11.33,0.07,0.00,0.03,30.00,11020.95,2.99,250.00,,-1.06,6849.46,96.00,751.00,15.41,-61.37
98.32,88.70,98.99,7640000.00,11.57,0.06,0.00,0.04,40.00,11020.25,3.07,170.00,,-1.00,7016.38,96.00,751.00,15.41,-61.37
99.74,88.90,98.89,1700000.00,9.97,0.07,0.00,0.03,30.00,11281.38,3.05,180.00,,4.45,7317.49,96.00,751.00,15.41,-61.37
99.83,89.30,98.77,,8.80,0.08,0.00,0.02,20.00,11610.77,3.12,180.00,,-2.69,7597.29,96.00,751.00,15.41,-61.37
99.98,89.30,104.20,,10.88,0.07,0.00,0.04,36.36,12128.22,3.12,180.00,,2.56,8080.97,96.00,751.00,15.41,-61.37
100.00,89.30,103.97,13270000.00,9.84,0.05,0.00,0.03,37.50,11274.69,3.02,170.00,,-6.80,7274.52,96.00,751.00,15.41,-61.37
100.00,89.10,99.33,1640000.00,8.30,0.04,0.00,0.02,33.33,11557.90,2.94,170.00,,2.21,7687.46,96.00,751.00,15.41,-61.37
100.00,89.30,99.08,8940000.00,8.05,0.07,0.00,0.02,22.22,11049.87,2.97,170.00,,7.57,8516.28,96.00,751.00,15.41,-61.37
100.00,88.90,98.83,,,0.12,0.00,0.04,25.00,10056.25,,,,-16.60,7003.86,96.00,751.00,15.41,-61.37
88.76,84.10,53.73,11100000.00,19.11,7.34,0.00,0.75,9.27,10094.04,3.90,18670.00,,4.66,2869.18,225.00,48670.00,18.74,-70.16
89.79,84.70,54.11,4170000.00,18.89,9.07,0.00,0.70,7.16,9667.40,3.70,18980.00,,2.46,2977.43,225.00,48670.00,18.74,-70.16
89.75,85.50,53.33,670000.00,17.94,10.98,0.00,0.87,7.34,10064.79,3.87,20880.00,,4.50,3110.33,225.00,48670.00,18.74,-70.16
89.17,86.05,52.62,,18.94,11.38,0.00,1.19,9.47,9104.64,3.53,18730.00,,-1.35,2418.35,225.00,48670.00,18.74,-70.16
90.32,86.40,51.89,460000.00,20.67,9.58,0.00,1.60,14.31,8357.90,3.34,17280.00,,2.57,2487.33,225.00,48670.00,18.74,-70.16
90.14,86.70,51.21,6260000.00,19.44,10.14,0.00,1.91,15.85,9065.09,3.19,18690.00,,9.43,3932.78,225.00,48670.00,18.74,-70.16
90.12,87.00,50.64,530000.00,17.98,11.36,0.00,1.75,13.35,8931.60,3.03,20370.00,,9.17,4109.03,225.00,48670.00,18.74,-70.16
96.88,87.10,50.00,370000.00,17.89,11.98,0.00,1.70,12.43,9066.20,2.93,20630.00,,7.42,4707.80,225.00,48670.00,18.74,-70.16
97.58,87.30,49.72,150000.00,17.68,10.34,0.00,1.38,11.77,8900.08,2.73,20580.00,,3.21,5087.98,225.00,48670.00,18.74,-70.16
97.86,87.40,54.86,310000.00,17.34,10.13,0.00,1.46,12.60,8679.01,2.64,19660.00,,0.95,5039.40,225.00,48670.00,18.74,-70.16
98.15,87.60,55.59,180000.00,16.91,12.50,0.00,1.48,10.59,8981.36,2.57,20680.00,,8.34,5555.39,225.00,48670.00,18.74,-70.16
97.90,87.80,58.34,240000.00,16.75,13.33,0.00,1.59,10.66,8723.77,2.54,20910.00,,3.13,5913.43,225.00,48670.00,18.74,-70.16
97.87,87.90,72.12,1390000.00,16.48,13.86,0.00,1.93,12.22,9560.26,2.54,21680.00,,2.72,6110.37,225.00,48670.00,18.74,-70.16
98.39,88.20,72.06,20000.00,16.55,14.54,0.00,2.19,13.09,9002.17,2.36,21290.00,,4.88,6238.13,225.00,48670.00,18.74,-70.16
98.47,88.50,72.21,450000.00,17.28,14.63,0.00,1.64,10.08,8537.96,2.19,21450.00,,7.05,6608.83,225.00,48670.00,18.74,-70.16
98.56,89.00,72.48,70000.00,14.88,15.59,0.00,1.32,7.81,9354.64,2.21,23590.00,,6.93,6921.52,225.00,48670.00,18.74,-70.16
98.90,89.50,83.72,81910000.00,15.31,16.53,0.00,2.14,11.46,9835.12,2.21,24590.00,,6.66,7280.88,225.00,48670.00,18.74,-70.16
100.00,90.00,85.90,82190000.00,16.87,16.07,0.00,2.94,15.47,9591.37,2.09,23550.00,,4.67,7609.35,225.00,48670.00,18.74,-70.16
98.90,90.40,98.92,380000.00,15.95,16.89,0.00,2.74,13.96,10487.73,2.06,25310.00,,6.98,8050.64,225.00,48670.00,18.74,-70.16
99.00,90.90,114.65,42670000.00,13.98,16.91,0.00,2.36,12.25,11098.33,2.08,27230.00,,5.05,8282.12,225.00,48670.00,18.74,-70.16
100.00,91.50,120.72,,,13.74,0.00,2.90,17.43,9496.67,,,,-6.72,7268.20,225.00,48670.00,18.74,-70.16
93.73,87.80,135.21,2220000.00,19.43,2.82,0.00,7.53,72.75,8246.84,3.27,22050.00,21.61,1.09,1445.28,71.00,283561.00,-1.83,-78.18
94.02,88.75,134.56,2140000.00,17.05,3.74,0.00,7.00,65.18,8211.65,3.35,24250.00,19.69,4.02,1894.62,71.00,283561.00,-1.83,-78.18
94.31,89.80,132.83,830000.00,17.10,4.10,0.00,7.45,64.50,7965.15,3.48,24170.00,21.10,4.10,2172.10,71.00,283561.00,-1.83,-78.18
94.97,90.60,130.59,360000.00,16.55,4.11,0.00,7.11,63.37,8014.88,3.73,24660.00,19.53,2.72,2425.85,71.00,283561.00,-1.83,-78.18
94.87,91.10,130.98,310000.00,16.73,5.59,0.00,7.50,57.30,8426.99,3.54,26180.00,18.73,8.21,2691.28,71.00,283561.00,-1.83,-78.18
95.83,91.70,132.24,8400000.00,16.16,5.09,0.00,7.07,58.14,8767.22,3.65,28220.00,16.60,5.29,3002.14,71.00,283561.00,-1.83,-78.18
96.32,92.30,133.33,10000.00,14.19,6.17,0.00,7.35,54.36,9114.50,3.43,30130.00,16.25,4.40,3328.88,71.00,283561.00,-1.83,-78.18
96.81,92.70,149.22,,15.88,7.33,0.00,9.26,55.82,9420.02,3.69,30640.00,19.56,2.19,3567.84,71.00,283561.00,-1.83,-78.18
97.21,93.05,148.98,2770000.00,15.32,6.68,0.00,11.58,63.42,9883.91,3.07,31690.00,22.62,6.36,4249.02,71.00,283561.00,-1.83,-78.18
96.47,93.30,146.77,1270000.00,12.87,8.36,0.00,9.57,53.37,9482.96,3.39,34500.00,18.93,0.57,4231.62,71.00,283561.00,-1.83,-78.18
97.46,93.60,156.29,2811680000.00,11.79,9.77,0.00,9.00,47.95,10353.47,3.47,37250.00,15.94,3.53,4633.59,71.00,283561.00,-1.83,-78.18
96.87,93.90,153.38,394900000.00,13.15,8.47,0.00,11.41,57.39,10805.04,3.38,37100.00,19.20,7.87,5200.56,71.00,283561.00,-1.83,-78.18
97.19,94.00,153.01,26490000.00,13.20,9.57,0.00,12.54,56.72,11233.19,3.17,37090.00,19.84,5.64,5682.05,71.00,283561.00,-1.83,-78.18
98.03,94.10,152.03,331000000.00,11.85,10.98,0.00,11.46,51.07,11416.99,3.21,39700.00,17.38,4.95,6056.33,71.00,283561.00,-1.83,-78.18
98.98,94.30,152.96,509020000.00,12.18,11.36,0.00,12.09,51.56,11816.22,3.38,41800.00,17.28,3.79,6377.09,71.00,283561.00,-1.83,-78.18
98.83,94.40,160.29,31740000.00,13.07,11.34,0.00,13.74,54.78,11610.72,3.26,41520.00,19.64,0.10,6124.49,71.00,283561.00,-1.83,-78.18
98.70,94.40,281.35,134670000.00,14.75,10.77,0.00,16.37,60.32,11399.55,3.16,39810.00,23.63,-1.23,6060.09,71.00,283561.00,-1.83,-78.18
99.20,94.40,280.86,36680000.00,17.05,7.40,0.00,20.44,73.42,11658.20,3.18,38550.00,28.34,2.37,6213.50,71.00,283561.00,-1.83,-78.18
98.70,94.50,308.23,890000.00,16.33,7.97,0.00,21.06,72.55,12100.16,3.10,40140.00,27.39,1.29,6295.93,71.00,283561.00,-1.83,-78.18
99.09,94.45,303.72,60120000.00,17.73,7.09,0.00,25.20,78.04,12160.40,3.26,39290.00,31.77,0.01,6222.52,71.00,283561.00,-1.83,-78.18
98.85,94.30,300.29,,,6.45,0.00,24.83,79.38,10374.73,,,36.04,-7.75,5600.39,71.00,283561.00,-1.83,-78.18
97.70,83.50,42.53,10780000.00,8.26,60.77,0.00,13.70,18.40,7965.85,3.27,,7.42,,,103.00,1001450.00,26.82,30.80
97.34,86.70,41.73,31600000.00,7.82,64.17,0.00,15.20,19.15,8143.85,3.59,,7.23,,,103.00,1001450.00,26.82,30.80
97.54,89.40,40.95,530000.00,7.35,71.88,0.00,12.93,15.25,8202.89,3.59,,6.80,,,103.00,1001450.00,26.82,30.80
98.80,92.00,40.21,209660000.00,7.45,77.22,0.00,13.26,14.66,8503.99,3.62,,5.94,,,103.00,1001450.00,26.82,30.80
97.91,93.85,40.51,47570000.00,7.57,83.17,0.00,13.04,13.55,8798.15,3.79,,5.63,,,103.00,1001450.00,26.82,30.80
99.40,95.50,39.78,102760000.00,6.48,90.09,0.00,13.07,12.67,8844.94,4.17,,5.39,,,103.00,1001450.00,26.82,30.80
99.04,96.70,40.19,500000.00,6.22,96.08,0.00,13.42,12.26,9136.15,4.12,,5.17,,,103.00,1001450.00,26.82,30.80
98.47,97.60,40.51,97280000.00,6.05,102.60,0.00,16.18,13.62,9542.58,4.11,,5.36,,,103.00,1001450.00,26.82,30.80
99.80,98.20,40.97,85760000.00,6.17,108.85,0.00,15.44,12.42,9921.17,3.97,,5.41,,,103.00,1001450.00,26.82,30.80
98.87,98.80,40.78,257900000.00,5.90,117.81,0.00,13.86,10.53,10077.90,3.88,,4.80,,,103.00,1001450.00,26.82,30.80
99.39,99.10,41.53,1025120000.00,5.57,145.66,0.00,14.63,9.13,10258.88,3.66,,4.46,,,103.00,1001450.00,26.82,30.80
99.45,99.40,40.90,118940000.00,5.53,142.53,0.00,14.55,9.26,10516.58,3.77,,4.33,,,103.00,1001450.00,26.82,30.80
99.70,99.55,40.00,14920000.00,5.50,150.04,0.00,14.35,8.73,10688.42,3.80,,4.18,,,103.00,1001450.00,26.82,30.80
99.85,99.70,39.10,159850000.00,5.49,153.57,0.00,14.66,8.71,10368.02,3.62,,4.18,,,103.00,1001450.00,26.82,30.80
99.80,99.80,38.23,80000.00,5.59,159.93,0.00,15.36,8.76,9999.62,3.63,,4.18,,,103.00,1001450.00,26.82,30.80
99.30,99.80,39.67,239160000.00,5.45,170.68,0.00,15.64,8.39,9943.54,3.46,,4.33,,,103.00,1001450.00,26.82,30.80
100.00,99.80,38.97,312350000.00,5.31,174.07,0.00,15.50,8.18,10278.02,3.64,,4.13,,,103.00,1001450.00,26.82,30.80
100.00,99.90,39.42,2070240000.00,5.10,181.31,0.00,15.53,7.89,10471.65,3.67,,3.87,,,103.00,1001450.00,26.82,30.80
100.00,99.90,48.71,124930000.00,5.23,182.31,0.00,17.31,8.67,10286.72,3.59,,4.06,,,103.00,1001450.00,26.82,30.80
100.00,99.90,59.16,340400000.00,5.30,173.86,0.00,20.75,10.66,9919.54,3.41,,5.17,,,103.00,1001450.00,26.82,30.80
100.00,99.90,58.35,,,168.46,0.00,20.83,11.00,9153.99,,,6.56,,,103.00,1001450.00,26.82,30.80
84.52,57.90,97.82,,33.51,1.70,0.00,2.03,54.42,4934.59,3.47,5630.00,,1.13,2001.54,313.00,21041.00,13.79,-88.90
87.06,59.95,107.65,,33.11,1.46,0.00,2.33,61.48,5098.64,3.65,5870.00,,0.88,2072.30,313.00,21041.00,13.79,-88.90
87.55,62.00,110.29,,34.02,1.57,0.00,2.40,60.45,5202.29,3.69,5940.00,,1.57,2124.10,313.00,21041.00,13.79,-88.90
86.96,63.90,117.44,,33.85,1.46,0.00,2.81,65.81,5536.21,3.90,6510.00,,1.57,2209.50,313.00,21041.00,13.79,-88.90
87.36,65.80,114.54,1300000.00,33.33,1.61,0.00,2.73,62.90,5513.26,3.90,6680.00,,0.89,2278.43,313.00,21041.00,13.79,-88.90
87.53,67.70,118.97,,34.08,1.64,0.00,3.07,65.18,5701.85,3.89,6840.00,,2.71,2428.57,313.00,21041.00,13.79,-88.90
89.20,69.40,120.36,0.00,34.76,2.11,0.00,3.49,62.32,6029.88,3.98,7240.00,,4.34,2631.82,313.00,21041.00,13.79,-88.90
91.11,71.40,131.45,250000.00,28.24,2.21,0.00,3.51,61.36,6277.06,3.95,7630.00,,1.86,2786.16,313.00,21041.00,13.79,-88.90
91.00,73.10,130.41,20000.00,31.50,2.08,0.00,3.91,65.28,6136.07,3.91,6910.00,,2.13,2933.39,313.00,21041.00,13.79,-88.90
91.08,75.10,133.03,100000.00,32.20,2.38,0.00,3.47,59.32,5893.16,3.93,6680.00,,-2.09,2858.48,313.00,21041.00,13.79,-88.90
91.58,76.80,132.59,90000.00,32.62,2.00,0.00,3.97,66.50,6082.85,3.91,6540.00,,2.11,2983.23,313.00,21041.00,13.79,-88.90
92.57,78.70,143.66,960000.00,29.52,1.97,0.00,4.12,67.65,6068.42,3.75,6780.00,,3.82,3266.01,313.00,21041.00,13.79,-88.90
93.68,80.30,152.24,1440000.00,30.27,2.08,0.00,4.18,66.77,6096.51,3.71,6770.00,,2.82,3428.41,313.00,21041.00,13.79,-88.90
95.04,82.10,155.46,54180000.00,27.54,2.15,0.00,4.12,65.71,5903.09,3.43,6460.00,,2.23,3509.53,313.00,21041.00,13.79,-88.90
95.13,84.00,160.39,10000.00,23.95,2.10,0.00,4.14,66.35,6015.02,3.33,6590.00,,1.71,3589.04,313.00,21041.00,13.79,-88.90
95.40,85.50,146.12,150500000.00,21.03,2.44,0.00,3.57,59.40,6200.17,3.39,7000.00,,2.40,3705.58,313.00,21041.00,13.79,-88.90
96.00,86.90,154.53,67690000.00,20.71,2.34,0.00,3.68,61.13,6231.59,3.38,7170.00,,2.55,3806.00,313.00,21041.00,13.79,-88.90
96.80,88.20,182.96,222340000.00,24.99,1.55,0.00,3.94,71.77,6173.11,3.25,6380.00,,2.25,3910.25,313.00,21041.00,13.79,-88.90
97.00,89.40,199.49,31910000.00,23.21,1.38,0.00,3.95,74.11,6645.68,3.27,6810.00,,2.43,4052.62,313.00,21041.00,13.79,-88.90
97.36,90.75,230.30,1180000.00,19.39,1.84,0.00,4.15,69.28,7271.52,3.37,7800.00,,2.38,4167.73,313.00,21041.00,13.79,-88.90
100.00,91.80,232.16,,,1.29,0.00,4.97,79.39,6715.61,,,,-8.58,3798.64,313.00,21041.00,13.79,-88.90
65.56,19.00,9.24,,45.85,0.08,0.00,0.01,11.11,4751.27,1.57,2220.00,,18.21,1725.56,50.00,28051.00,1.65,10.27
65.57,19.50,8.87,180000.00,46.12,0.05,0.00,0.01,16.67,2574.47,1.03,3400.00,,63.38,2313.17,50.00,28051.00,1.65,10.27
65.58,19.40,8.51,170000.00,31.31,0.10,0.00,0.01,9.09,37471.24,1.25,4630.00,,19.46,2744.19,50.00,28051.00,1.65,10.27
65.57,19.60,8.15,40000.00,29.49,0.11,0.00,0.01,8.33,38771.44,1.26,5010.00,,13.96,3618.54,50.00,28051.00,1.65,10.27
65.57,20.10,7.81,,7.20,0.16,0.00,0.01,5.88,7523.66,3.16,6200.00,,38.00,6152.13,50.00,28051.00,1.65,10.27
65.57,20.80,7.47,,7.10,0.19,0.00,0.01,5.00,26154.96,2.70,8320.00,,16.75,10963.41,50.00,28051.00,1.65,10.27
65.56,21.30,7.14,464620000.00,6.99,0.25,0.00,0.01,3.85,30517.99,2.57,9370.00,,7.70,12857.37,50.00,28051.00,1.65,10.27
65.56,21.70,6.82,,8.49,0.31,0.00,0.01,3.13,32212.72,1.90,8540.00,,15.28,15908.41,50.00,28051.00,1.65,10.27
65.57,22.10,6.51,,7.23,0.41,0.00,0.05,10.87,30431.82,1.82,9780.00,,17.80,22942.61,50.00,28051.00,1.65,10.27
65.59,22.50,6.21,,9.24,0.46,0.00,0.05,9.80,30738.89,1.44,9710.00,,1.34,16668.12,50.00,28051.00,1.65,10.27
66.16,22.70,5.93,,5.74,0.55,0.00,0.03,5.17,28152.89,2.36,9950.00,,-8.92,17288.84,50.00,28051.00,1.65,10.27
66.10,23.35,5.68,,5.58,0.62,0.00,0.03,4.62,28943.42,2.28,9990.00,,6.52,21641.69,50.00,28051.00,1.65,10.27
65.74,24.00,121.80,,4.42,0.67,0.00,0.08,10.67,26990.08,2.71,9820.00,,8.31,21711.15,50.00,28051.00,1.65,10.27
65.82,23.60,116.68,3420000.00,3.68,0.71,0.00,0.25,26.04,26720.80,3.48,9180.00,,-4.13,20390.74,50.00,28051.00,1.65,10.27
65.92,23.90,111.92,,4.20,0.71,0.00,0.38,34.86,24158.02,3.22,7910.00,,0.42,19394.08,50.00,28051.00,1.65,10.27
66.04,24.00,107.48,20000.00,4.56,0.83,0.00,0.47,36.15,20745.45,3.27,6570.00,,-9.11,11283.40,50.00,28051.00,1.65,10.27
66.17,23.90,103.36,,3.95,0.93,0.00,0.47,33.57,19728.45,4.05,6660.00,,-8.82,9250.32,50.00,28051.00,1.65,10.27
66.31,24.20,99.52,,3.54,0.90,0.00,0.44,32.84,21365.68,4.70,5800.00,,-5.67,9667.86,50.00,28051.00,1.65,10.27
66.45,24.10,97.13,,4.91,0.91,0.00,0.44,32.59,18711.83,3.72,6430.00,,-6.24,10005.62,50.00,28051.00,1.65,10.27
66.60,24.00,93.76,,6.58,0.95,0.00,0.45,32.14,17644.69,3.01,5350.00,,-5.98,8419.93,50.00,28051.00,1.65,10.27
66.75,24.50,90.68,,,0.92,0.00,0.49,34.75,11328.12,,,,-4.89,7143.24,50.00,28051.00,1.65,10.27
29.25,3.50,0.00,,76.62,0.20,0.00,0.00,0.00,1086.24,5.20,640.00,,-3.14,308.13,35.00,117600.00,15.18,39.78
30.35,3.90,0.00,,74.68,0.22,0.00,0.00,0.00,1156.58,5.01,700.00,,8.76,316.82,35.00,117600.00,15.18,39.78
32.20,4.40,0.00,,74.67,0.24,0.00,0.00,0.00,1019.17,4.91,680.00,,3.01,293.96,35.00,117600.00,15.18,39.78
32.53,4.90,0.00,,74.89,0.26,0.00,0.00,0.00,1172.77,5.40,690.00,,-2.66,334.59,35.00,117600.00,15.18,39.78
33.61,5.40,0.00,,69.91,0.27,0.00,0.00,0.00,1226.45,4.94,680.00,,1.45,407.77,35.00,117600.00,15.18,39.78
34.69,5.80,0.00,,74.65,0.27,0.00,0.00,0.00,1197.50,4.93,600.00,,2.57,388.60,35.00,117600.00,15.18,39.78
35.78,6.40,0.00,,78.34,0.25,0.00,0.00,0.00,809.80,4.54,520.00,,-0.97,415.04,35.00,117600.00,15.18,39.78
36.86,6.80,0.28,510000.00,79.80,0.27,0.00,0.00,0.00,818.48,4.62,510.00,,1.43,439.83,35.00,117600.00,15.18,39.78
37.96,7.40,0.27,70000.00,81.72,0.27,0.00,0.00,0.00,569.35,4.82,450.00,,-9.78,450.63,35.00,117600.00,15.18,39.78
39.07,7.70,0.26,30000.00,81.63,0.28,0.00,0.00,0.00,670.50,4.97,470.00,,3.88,595.11,35.00,117600.00,15.18,39.78
40.18,8.00,0.26,50000.00,81.07,0.29,0.00,0.00,0.00,654.89,4.99,500.00,,2.19,501.36,35.00,117600.00,15.18,39.78
41.32,8.30,0.26,250000.00,79.71,0.30,0.00,0.00,0.00,655.35,4.71,570.00,,8.68,642.51,35.00,117600.00,15.18,39.78
42.47,8.60,0.26,,78.14,0.31,0.00,0.00,0.00,686.76,4.81,620.00,,,,35.00,117600.00,15.18,39.78
43.64,8.90,0.26,,78.14,0.32,0.00,0.00,0.00,691.83,4.87,640.00,,,,35.00,117600.00,15.18,39.78
44.83,8.90,2.62,,77.80,0.32,0.00,0.00,0.00,716.54,4.74,650.00,,,,35.00,117600.00,15.18,39.78
46.03,9.00,2.60,113190000.00,77.56,0.33,0.00,0.00,0.00,707.84,4.83,650.00,,,,35.00,117600.00,15.18,39.78
47.25,9.00,2.68,,77.31,0.34,0.00,0.00,0.00,715.03,,660.00,,,,35.00,117600.00,15.18,39.78
48.47,9.20,3.23,,75.37,0.40,0.00,0.01,2.44,778.29,,720.00,,,,35.00,117600.00,15.18,39.78
49.70,9.10,5.37,30000.00,74.03,0.42,0.00,0.01,2.33,876.15,,850.00,,,,35.00,117600.00,15.18,39.78
50.94,9.20,5.94,,73.67,0.43,0.00,0.01,2.27,936.48,,880.00,,,,35.00,117600.00,15.18,39.78
52.17,9.30,6.49,,,0.41,0.00,0.01,2.38,881.59,,,,,,35.00,117600.00,15.18,39.78
100.00,100.00,,,19.83,8.50,0.00,0.01,0.12,39722.04,7.95,14920.00,0.10,10.09,4070.61,31.00,45228.00,58.60,25.01
100.00,100.00,,,18.93,8.47,0.00,0.02,0.24,41673.48,7.83,15380.00,0.10,6.00,4505.86,31.00,45228.00,58.60,25.01
100.00,100.00,,,19.41,8.50,0.00,0.03,0.35,41766.36,7.01,14950.00,0.19,6.77,5341.63,31.00,45228.00,58.60,25.01
100.00,100.00,,,19.82,10.11,0.00,0.05,0.49,45834.83,7.21,16940.00,0.22,7.60,7203.52,31.00,45228.00,58.60,25.01
100.00,100.00,,,19.97,10.25,0.00,0.06,0.58,47047.78,6.88,17020.00,0.29,6.80,8914.10,31.00,45228.00,58.60,25.01
100.00,100.00,,,18.85,10.09,0.00,0.11,1.08,47588.28,6.18,17230.00,0.50,9.53,10412.64,31.00,45228.00,58.60,25.01
100.00,100.00,,,17.18,9.60,0.00,0.13,1.34,47286.48,5.49,15980.00,0.59,9.77,12639.40,31.00,45228.00,58.60,25.01
100.00,100.00,,,18.56,12.04,0.00,0.14,1.15,55017.60,5.71,19980.00,0.59,7.58,16744.58,31.00,45228.00,58.60,25.01
100.00,100.00,,,20.29,10.38,0.00,0.20,1.89,50750.43,5.81,18400.00,0.85,-5.13,18204.97,31.00,45228.00,58.60,25.01
100.00,100.00,,,24.13,8.24,0.00,0.54,6.15,43997.60,6.02,15050.00,2.79,-14.63,14711.74,31.00,45228.00,58.60,25.01
