Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
-1.3508471409301692,-1.271891702335949,-0.3854395386782721,-0.32646101886332357,0.8413705356906827,-0.395749641095019,-0.42278713231485254,-0.898310112778528,-0.5314692652944671,-0.47318076924724684,0.03633799612186006,-0.39905768472882325,0.0,-0.38844210247314287
0.6422799141892473,0.08409564812700035,-0.3872961024891747,-0.32677642328414774,-0.4595395483923459,-0.4006479930682557,-0.4217976815483335,-0.39712909002258484,-0.2984166844682314,-0.21394242267482644,0.03625304135636239,-0.39335505129496734,-0.30479902552118154,-0.427283762364159
-0.07465086235370676,-1.0244487551711774,-0.3847691128576684,-0.3259695747657603,-0.057602734334089814,-0.37241245193897965,-0.42294042750403155,-1.0388852776978779,-0.5097728412776409,-0.5306473977977834,0.03705161615204045,-0.3974497005015811,0.0,-0.38844210247314287
-1.6358345616472438,-1.3906643169750394,-0.2983357532167595,1.7998870981964057,1.6588298269369464,-0.4035515669333716,-0.4038760803406787,1.7732001124693249,-0.5045407677471154,0.0,0.037283825844400736,-0.3985813001822978,-0.32412004591324445,-0.1824671030331548
0.6059871528870729,0.7113635191896969,2.769058346669692,-0.3267439397723685,-0.04567385939089345,-0.3913028291519872,2.3833927930171805,0.9530327941613994,-0.3838735205099663,-0.5344785063678191,0.03624737770532921,-0.3839528806534937,-0.3214240895794682,-0.07502733845400658
-0.12284288965659428,0.10389108390018202,2.769058346669692,-0.3243778826885777,1.8930996765158308,-0.40371160643774806,-0.4139796269002042,1.8282077856986358,-0.1681203635782844,0.4169134551910636,0.04010998770995644,-0.3954943957090579,-0.33310656702583186,-0.4232710281296932
0.6720280791910297,0.9971601231650081,-0.3872961024891747,-0.32677642328414774,-0.8021633453719311,-0.37045768370695287,2.3833927930171805,1.526975289442886,0.23560173319913374,-0.36080158452619765,0.03471252827533804,2.5817753638350744,-0.28862328751852423,-0.23169801380233365
0.6720280791910297,0.9971601231650081,-0.3872961024891747,-0.32677642328414774,-0.4211020624642687,-0.40059655179899184,-0.4170455306837843,0.8508756867355363,0.050580966920013695,-0.36974083785628103,0.035148629404892724,-0.3579168317955056,-0.29581250440859413,-0.42900517820167133
0.6062846345370909,0.9971601231650081,2.769058346669692,-0.3266391542505,0.26381417385759076,-0.40367731225823883,-0.411415416463028,1.8089987569518924,-0.2985278920339306,-0.5587421939780457,0.031167082728568763,-0.38769775001116286,-0.33310656702583186,-0.3796594008977467
0.6720280791910297,0.9971601231650081,-0.3872961024891747,-0.32677642328414774,0.8549561988204339,-0.4034715471811834,2.3833927930171805,1.8188943172153664,0.0,-0.371017874046293,0.0341631541251198,2.5817753638350744,-0.3353531973039787,-0.33295745251338377
0.6720280791910297,0.9971601231650081,-0.3498141419957304,-0.32604606819672427,-1.099722503677219,-0.40352870414703207,-0.4240831734597296,-0.9940642106221432,-0.0188017617808769,-0.36590972928624527,0.0355111030710161,-0.37220451466804927,-0.24189337773306974,-0.43528011865348565
0.6720280791910297,0.9971601231650081,-0.3872961024891747,-0.32677642328414774,-0.9181385184307849,-0.38080881022215907,-0.42405530160715166,-1.0802137940923866,0.03343936079450411,-0.3812341635663884,0.038376910493804046,-0.35908288081195117,-0.16236266588667125,-0.4288479091444575
0.6720280791910297,0.9971601231650081,-0.3872961024891747,-0.32677642328414774,-1.1116513786204154,-0.3678398946710807,-0.4240971093860186,-1.0822511153231018,0.0,-0.33398382453594716,0.038914957341955936,2.5817753638350744,-0.2890726135741536,-0.40896618909465954
-0.7770050380457879,-1.4327296179930507,-0.3871207603514783,-0.32677642328414774,2.020341009243259,-0.4035229884504472,-0.4240971093860186,-1.0822511153231018,-0.5439338972574772,0.0,0.037595326651225516,-0.39914281079957353,-0.330859936747685,-0.23364220110117112
0.6333554646887127,0.8585920727527361,2.769058346669692,1.7998870981964057,-0.6268751552344064,-0.39755580121583906,-0.4012839980509246,0.6733376937732103,-0.36964849311524844,-0.47062669686722297,0.03264529564822816,-0.3881322299132153,-0.310190938188734,-0.34569118315995256
0.6720280791910297,0.9971601231650081,-0.3872961024891747,-0.32677642328414774,-0.5327695862380794,-0.40222552532568084,-0.4236372238184816,1.2987953116027817,-0.1469838876419126,-0.01600181322297834,0.037040288849974096,-0.39303975951062814,-0.32277206774635636,-0.4147569813421735
-0.20524530671153124,-0.7646336606481668,-0.3436874814197519,-0.32634994621014296,0.4735635582754606,-0.3718751764600015,2.3833927930171805,0.019648624603727977,-0.48995990742417567,-0.18712466268457603,0.037034625198940914,-0.3984170122877926,-0.21313651017279006,-0.18350659770709377
0.656261551740085,0.9130295211289856,-0.37924067839853626,1.7998870981964057,-1.0738766079669602,-0.4034829785743531,-0.4240971093860186,-1.0822511153231018,-0.29122025676384344,-0.5919451349183558,0.03746506267746243,-0.38451419762638644,0.0,-0.435326001980037
0.6604262948403345,0.9254016684872242,-0.22631139159713334,-0.3267407962067125,-0.8034887759211751,-0.40227125089835986,-0.4234699927030136,-0.6413165918183087,-0.22282291155648995,-0.586836990158308,0.03549977576894975,-0.37956381452702403,0.0,-0.4347747691879512
