Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
-2.368936807435761,-1.4594543496719874,-0.8889228516666732,-0.10476119894935373,0.33772964719846205,-0.7296631973498598,-1.0399749845039763,-0.7517624598588543,0.6443324789434932,-0.9337239744779944,-1.4108230511319566,0.0010219849189311947,0.10124306313529452,-0.2930934060217976,-0.5491631916076481,0.725630349806416
-2.292272141920932,-1.4334652649911912,-0.8934531496780049,-0.10447760431770363,0.35811502982796534,-0.7323744357984424,-1.0399749845039763,-0.7360342517550673,1.2206464436826185,-0.9364399420369784,-1.3699385281001886,0.0010219849189311947,0.10124306313529452,-0.29184159477029537,-0.5491631916076481,0.725630349806416
-2.125853721657033,-1.4074761803103955,-0.8983609725236144,-0.09462913620039969,0.09845204125216107,-0.7308251566849666,-1.0399749845039763,-0.7310674491959767,1.1105364312604014,-0.9375159943286124,-1.5089459064081991,0.0010219849189311947,0.10124306313529452,-0.29131851483691845,-0.5491631916076481,0.725630349806416
-1.9597469463749018,-1.3736903702253604,-0.9031429537577979,-0.037858647210076986,0.059352208995572746,-0.7238534006743257,-1.0399749845039763,-0.7252728462103709,0.6768440703550671,-0.9367260074176202,-1.5089459064081991,0.0010219849189311947,0.030831327703771946,-0.2910448695363765,-0.5491631916076481,0.725630349806416
-1.7939518160745385,-1.3373056516722461,-0.907421568546278,-0.045337038997662976,0.31266565216218756,-0.7230787611175878,-1.0399749845039763,-0.7310674491959767,0.5510916884801118,-0.9377900714201811,-1.5907149524717348,0.0010219849189311947,-0.02183551472585482,-0.29054136218337934,-0.5491631916076481,0.725630349806416
-1.6278450407924074,-1.3035198415872113,-0.9104417672204991,-0.07946971407219362,-0.03355166593888465,-0.7226914413392188,-1.0399749845039763,-0.7285840479164314,0.5670407710593743,-0.9358124171123913,-1.5048574541050224,0.0010219849189311947,0.047866424985591925,-0.2897958307645695,-0.5491631916076481,0.725630349806416
-1.4617382655102764,-1.2606378518638979,-0.9118260249461838,-0.07743298899034282,-0.10005479943513315,-0.728113918236384,-1.0399749845039763,-0.7244450457838558,0.9581000073778334,-0.9336483242400502,-1.4680613833764313,0.0010219849189311947,0.006201416217140562,-0.2892679993848575,-0.5491631916076481,0.725630349806416
-1.2956314902281454,-1.2229536790767435,-0.913713649117572,-0.06420716662338752,-0.20398683218555153,-0.728113918236384,-1.0399749845039763,-0.7153392410921897,1.0427528302985354,-0.9315871652980267,-1.455796026466901,0.0010219849189311947,0.056880830630555,-0.2869338657813015,-0.5491631916076481,0.725630349806416
-1.097736926805719,-1.1865689605236294,-0.9106934504433509,-0.06312435075708708,-0.4583028351536171,-0.728501238014753,-1.0399749845039763,-0.7327230500490068,0.8900096932894429,-0.9211056801445959,-1.2881694820366532,0.0010219849189311947,-0.0040196421519514275,-0.28681297536852873,-0.5491631916076481,0.725630349806416
-0.9624830047185805,-1.142387516566276,-0.910567608831925,-0.07913455678024349,-0.6133654177780355,-0.7296631973498598,-1.0399749845039763,-0.7128558398126444,1.1663582202878209,-0.9059251990637724,-1.161427460638173,0.0010219849189311947,0.056880830630555,-0.28504680778876423,-0.5491631916076481,0.725630349806416
-1.088387577352691,-1.1008049810770024,-0.9008778047521321,-0.010710906562116132,-0.6594831686447807,-0.728501238014753,-1.0399749845039763,-0.7153392410921897,1.068516732926575,-0.8973333163018358,-1.0755699622714605,0.0010219849189311947,0.056880830630555,-0.2824674879959227,-0.5491631916076481,0.725630349806416
-1.0721820383007759,-1.0540246286515693,-0.9026395873120945,-0.030846125409274183,-0.7443665651676306,-0.7288885577931219,-1.0399749845039763,-0.7277562474899163,0.9804900656141061,-0.8868654729945917,-0.7607591349268484,0.0010219849189311947,-0.02879151278259798,-0.28130285359681617,-0.5491631916076481,0.725630349806416
-0.26564482548622614,-1.0228377270346143,-0.8880419603866919,0.0566557091198608,-0.6524652500346239,-0.7304378369065977,-1.0399749845039763,-0.7161670415187048,1.200403377332016,-0.8914950195232162,-1.0142431777238088,0.0010219849189311947,0.056880830630555,-0.2801435704835869,-0.5491631916076481,0.725630349806416
-0.2908880690094014,-0.9760573746091814,-0.8904329510037838,0.25908426812520424,-0.6023372599620748,-0.7273392786796462,-1.0399749845039763,-0.7037500351209782,1.0804785448610221,-0.9023807993909064,-1.0755699622714605,0.0010219849189311947,0.007904925945322555,-0.28049699859175353,-0.5491631916076481,0.725630349806416
0.3701109373196789,-0.9422715645241466,-0.892320575175172,-0.0869205184855466,-0.5331606336619571,-0.7296631973498598,-1.0399749845039763,-0.6946442304293121,1.2654265601551635,-0.9103265547107287,-1.161427460638173,0.0010219849189311947,-0.012537190792861416,-0.28074267126157343,-0.5491631916076481,0.725630349806416
-0.19085002986200184,-0.9084857544391118,-0.8943340409579861,-0.09220569116629872,-0.5799467577296695,-0.7300505171282288,-1.0399749845039763,-0.6921608291497668,1.2985515778197863,-0.9061306535351292,-1.1123660330000515,0.0010219849189311947,-0.021551596437824488,-0.2821585728566442,-0.5491631916076481,0.725630349806416
0.6256598223691113,-0.8772988528221566,-0.8807431469239908,-0.10259556721675286,-0.5000761602140746,-0.7300505171282288,-1.0399749845039763,-0.6896774278702215,1.3080596847420387,-0.9105659071029131,-1.1655159129413495,0.0010219849189311947,-0.015802251105210247,-0.28322883003209715,-0.5491631916076481,0.725630349806416
0.6256598223691113,-0.8487108596732811,-0.8817498798153978,0.024944673035348124,-0.5238034088484146,-0.7288885577931219,-1.0399749845039763,-0.6871940265906762,1.2537714613472408,-0.9119499344069433,-1.140985199122289,0.0010219849189311947,-0.0130340477969145,-0.28311523682733886,-0.5491631916076481,0.725630349806416
0.5920021643382106,-0.8175239580563258,-0.8847700784896191,0.0759143627419185,-0.5655767339088721,-0.728113918236384,-1.0399749845039763,-0.6971276317088574,1.1642112284021506,-0.908025216597964,-1.083746866877814,0.0010219849189311947,-0.023397065310021652,-0.283869524895766,-0.5491631916076481,0.725630349806416
0.6256598223691113,-0.7915348733755297,-0.8843925536553414,-0.09290178708034899,-0.5471964708822707,-0.7288885577931219,-1.0399749845039763,-0.7037500351209782,1.1724924828183065,-0.913053683780229,-1.0960122237873444,0.0010219849189311947,-0.00409062172395901,-0.28366252742842274,-0.5491631916076481,0.725630349806416
